text,sentiment
 yes i did - as a thank you. have contacted them 2ce but no response,neutral
Woke up to the sound of my neighbor getting a new roof,neutral
eating hawain pizza for breakfast  its a bit cold,negative
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
 LMAAAOOOOO that is horrible. Poor thing,negative
wee. done with advance audit paper,neutral
" Oh, fabulous ta.  I`m with the coffee too, obviously, although my cup is not large enough to embrace which is its deficiency.",neutral
 I had one of those in south Florida. Mowing around it could hurt,neutral
WHY DOES MY COUSIN PICK TODAY TO NOT TURN UP EARLY,neutral
" no, but I will. It just seems such a cruel condition",negative
wants to feel better,positive
 Is it culture day? Love it. I`m telling you graf culture in the study,positive
So effing tired  http://bit.ly/e0ZFz,negative
Morning and hope everyone has a great bank holiday,positive
  god you guys...i`ll call you guys...three way. to discuss.,neutral
 So sorry to hear your terrible news   Thinking of you all x,negative
X-men movie was pretty good. Kinda predictable @ points but good action sequences,positive
 ia so much! i haven`t really been happy with any of cooks choices for singles.,negative
At work but punchy due to two early morning pager events.,neutral
goodness gracious my chair broke,negative
sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),neutral
Doesn`t have to go to work tomorrow! Good times! Revision though,positive
 gotta play `Off the Wall` first tho,neutral
" You`re not kidding when you say you have to be fast, are you?  I was there like 5 seconds after your tweet: nothing.",neutral
 hahaha tempting! but nvm la. i`m quite a klutz.  i actually fare better with my hp cam LOL,positive
 good!  now let`s go get this done..... www.HennesseyBlack.com,positive
 go and see my puppy! I don`t want to be there alone,negative
 totally! I`ve been waitin for somethin new and thought provoking at mj.name,positive
 I`m going big weekend  cant wait to see u! x,positive
i know i was wrong. maybe i shouldnt did all of those **** things like that,negative
Has got to look for a job this weekend,neutral
 what about me  I miss you too!,negative
looking at this website!! should be working!!,positive
 really??,neutral
 > 'live Q&A 24/7'... definitely the best part of twitter for me,positive
 hahahaha! i haven`t been out with my friends since sunday! i`m so lame,negative
now there`s a fly in my room,neutral
_Girl OOC sorry we keep missing each other...,negative
"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",negative
 what fun are you speaking of?,neutral
Have to leave twitter alone for the night..last night in Barcelona   back to Philly tomorrow. Hope u all have a great Friday! Muahh!!,positive
Round and Round the Garden: The amazing thing is that he`s still talking to me!  http://tinyurl.com/dx8as4,positive
I have a belly ache...,negative
going to work nightshift....,neutral
"_mcc bye, Scotty!  i`m gonna miss you. ily<333",positive
Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,negative
_lou hahah hopefully!  enjoy your day,positive
 I accidentaly slammed my finger in the trunk,negative
 Chowder is the ****!!!!!!,negative
Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,positive
Another water leak in my appartement. The good side is that I get to meet the girls previous & next floors,positive
"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy",negative
 im so jealous! I want to go to ny,negative
I didn`t get my q`doba today! sad,negative
Definitely need to work out after this business trip- too much free food and alcohol. I`m sure I`ve gained a few pounds.,positive
right. coursework now. PROMISE,neutral
 something we all need sometime,neutral
"is really, really bored... I guess I will go to bed",negative
morning!  well excited dancing down the park todayyy! should be good!  wooo c`mon venue!  ****,positive
Is not looking forward to the LSAT,neutral
happppppyyyy mothersdayyyyyyyyy  mummy you are the best,positive
uhh I wish someone would include me in their follow friday - would be great to get more followers,positive
Hoping I hear something soon about Krystles surgery,positive
my parents sold my car.,neutral
Hates that my a.c doesn`t work! Its so hot,negative
"OK, a few days old, but I love `s diagram of the mainstream adoption curve http://is.gd/ufIg . 'Everyone is doing it'   ...  !",positive
 Want to learn how to make flowers????,neutral
is Jay Leno`s last show tonight,neutral
Leaving Wildwood tomorrow  but Luke says we will be back soon!,neutral
Little brothers being funny  Congrats on the engagement http://tinyurl.com/cv5nw8,positive
Update 100,neutral
 girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,positive
cant wait for prom and after prom party on friday,positive
This is getting on my nerves. I cant change my pic,negative
just got a subponea,neutral
" Indeed plenty of jokes to be had  Lying on bed hoping it`s going to free up, I`m on Jury service tomorrow...",positive
  Thats charmingly funny,positive
were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,negative
  congratulations  were you being mindful through the run as well or / and listening to music?,positive
First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),negative
 that`s a mess  I`ll look for it next week,negative
  The 'holy cow' is what did this to me.,neutral
" called about it, no answer shall try again tomorrow",neutral
it`s after 3 AM.!!  I think it`s time to bed.!!  have a good night twitts.! ;)),positive
Back in from LI 2hours ago n still made it to work  yay me,positive
This class is really long and I`m really getting hungry,negative
"Don`t worry, I won`t  I`ll send it to you as soon as I land in Delhi. I`ll let you know about the price in a little while.",positive
At nosely safari park with Leah,neutral
 just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol  lol,neutral
I went green yesterday and I was out so I missed it  do I get another certificate????,neutral
 denial can be very powerful,neutral
Dinner and A Movie with the Hubby,neutral
"already knows 3 dishes: Torta, Hotdog, & Itlog. Hurrah for me!",positive
 I took my ring out...,neutral
"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j",neutral
seen mi abueltia at the hospital... she`s doing good!,positive
 The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,positive
ps it`s rainging,positive
It`s too hot. I hate summer  #harrymcflytosing,negative
Got Six Feet Under series 1 on DVD,neutral
likes patricia`s dress,positive
i`m yours - jason mraz....looking for an electric guitar  yay!!!1,positive
 so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou<3,neutral
oh i just check my stock port. My marketing was unable to buy me TICON at best price,positive
_fann coming up! Sowwy!,negative
"BTW, hey ppl. lol TGIF. Hopefully ur day is gr8. Mine is aight. Feeling like it kinda sux I got no plans 4 the wknd....",positive
" ah, I misunderstood your message. but really dislike the F word in the url   good luck with the march",neutral
i wish i was at the beach already,positive
on my way to work. I`M SO HUNGRY!,negative
  in all honesty...pain   blech.,neutral
 heyy nat! twitter twitter twitter. you`ll get used to it hahaha  love youuuuuuuuuuu,positive
where did  go???,neutral
My friends are awesome!   -- and the non Twitter ones here right now too!!,positive
  We are both following and I don`t think I have seen him online lol,neutral
I cant get all my rwitters on my phone this phone sucks,negative
gettin ready to put on a show  ugh i really hope ppl dont comee,negative
" pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",negative
seriously getting hurt.... 4 days before nationals.. what a joke,negative
 aww thanx andy,positive
Going to the doctors now. Scared as ****.,negative
 awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!,negative
" #avatarcamp photos, perhaps?  lol (just itching to see them!)",neutral
So tired & ready for bed!! Really in the mood for salt & pepper chicken wings & noodles but have no money on me for a Chinese!,negative
has found a free wifi point ... and it`s sunny,positive
 Thanks! Welcome back!,positive
"House of the Muses 4, page 28 is now live.   http://bit.ly/egVW3",positive
is working tomorrow all day so can`t do anything tonight  Whats the plan for Saturday?,neutral
"mothers day, happy mothers day mom",positive
all my pancakes always end up soggy.,negative
Off to bed .. Nighty night everyone,neutral
So im playing hooky from work and it feels good  Gonna go get ma hair did! .......i wonder how fitzsimmons is doing?,positive
Gonna read a story bout adam lambert online then bed. Nighty night,neutral
U-Verse is up and blazing at 25Mbps.  I don`t have anything to download though,neutral
Oops that would be #edaust09,negative
Frustrated with copying 13Gigs across USB 1.1.Stupid old servers,negative
 Good to know I`m not alone in my confusion,positive
"Have to walk to school, and i have two welts on my thighs!",negative
 So that is different than normal how?,neutral
 ahh that would rock,neutral
still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days,negative
My mom likes Milow`s version of Ayo Technology... It`s a good thing she doesn`t have a clue what it`s about.,positive
 We Agree!! You guy rock,positive
i don`t wanna work over the weekend,neutral
" Boo, on both counts.",neutral
" -- No fair, I want a sticker but I just moved away from London",negative
Im bored   -musiic[BOX],negative
" so which one are you The Good, The Bad or The Ugly",neutral
just found two very moldy and squishy reasons why non cracker based foods aren`t allowed in the play room. When mom`s away...,neutral
 I`ll believe it when I see it,positive
